No.,Time,Source,Destination,Protocol,Length,Info,Label
224,44.88484,192.168.159.150,192.168.159.152,ICMP,98,"Echo (ping) request  id=0x6971, seq=6/1536, ttl=64 (reply in 225)",
225,44.885011,192.168.159.152,192.168.159.150,ICMP,98,"Echo (ping) reply    id=0x6971, seq=6/1536, ttl=64 (request in 224)",
226,44.906653,Vmware_32:2e:c9,Vmware_e8:f1:88,ARP,42,Who has 192.168.159.152? Tell 192.168.159.150,
227,44.906914,Vmware_e8:f1:88,Vmware_32:2e:c9,ARP,60,192.168.159.152 is at 00:0c:29:e8:f1:88,
228,45.898659,192.168.159.150,192.168.159.152,ICMP,98,"Echo (ping) request  id=0x6971, seq=7/1792, ttl=64 (reply in 229)",
229,45.898906,192.168.159.152,192.168.159.150,ICMP,98,"Echo (ping) reply    id=0x6971, seq=7/1792, ttl=64 (request in 228)",
230,45.999566,Vmware_e8:f1:88,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,
231,46.228052,Vmware_32:2e:c9,Broadcast,ARP,42,Who has 192.168.159.2? Tell 192.168.159.150,
232,46.922892,192.168.159.150,192.168.159.152,ICMP,98,"Echo (ping) request  id=0x6971, seq=8/2048, ttl=64 (reply in 233)",
233,46.923119,192.168.159.152,192.168.159.150,ICMP,98,"Echo (ping) reply    id=0x6971, seq=8/2048, ttl=64 (request in 232)",
234,46.995906,Vmware_e8:f1:88,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,
235,47.242842,Vmware_32:2e:c9,Broadcast,ARP,42,Who has 192.168.159.2? Tell 192.168.159.150,
236,47.946725,192.168.159.150,192.168.159.152,ICMP,98,"Echo (ping) request  id=0x6971, seq=9/2304, ttl=64 (reply in 237)",
237,47.946942,192.168.159.152,192.168.159.150,ICMP,98,"Echo (ping) reply    id=0x6971, seq=9/2304, ttl=64 (request in 236)",
238,47.995846,Vmware_e8:f1:88,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,
239,48.266595,Vmware_32:2e:c9,Broadcast,ARP,42,Who has 192.168.159.2? Tell 192.168.159.150,
240,48.399188,192.168.159.152,192.168.159.151,DNS,81,Standard query response 0x1775 Server failure A 1.ubuntu.pool.ntp.org,
241,48.399194,192.168.159.152,192.168.159.151,DNS,81,Standard query response 0x96bc Server failure AAAA 1.ubuntu.pool.ntp.org,
242,48.399422,192.168.159.151,192.168.159.152,DNS,91,Standard query 0x19ea A 1.ubuntu.pool.ntp.org.mydns.com,
243,48.399482,192.168.159.151,192.168.159.152,DNS,91,Standard query 0x1d27 AAAA 1.ubuntu.pool.ntp.org.mydns.com,
244,48.399614,192.168.159.152,192.168.159.151,DNS,139,Standard query response 0x19ea No such name A 1.ubuntu.pool.ntp.org.mydns.com SOA ubuntu.mydns.com,
245,48.399617,192.168.159.152,192.168.159.151,DNS,139,Standard query response 0x1d27 No such name AAAA 1.ubuntu.pool.ntp.org.mydns.com SOA ubuntu.mydns.com,
246,48.399898,192.168.159.151,192.168.159.152,DNS,74,Standard query 0x29fd A ntp.ubuntu.com,
247,48.3999,192.168.159.151,192.168.159.152,DNS,74,Standard query 0x10d9 AAAA ntp.ubuntu.com,
248,48.951027,192.168.241.1,192.168.241.255,UDP,86,57621  >  57621 Len=44,
249,48.970904,192.168.159.150,192.168.159.152,ICMP,98,"Echo (ping) request  id=0x6971, seq=10/2560, ttl=64 (reply in 250)",
250,48.971074,192.168.159.152,192.168.159.150,ICMP,98,"Echo (ping) reply    id=0x6971, seq=10/2560, ttl=64 (request in 249)",
251,49.998111,192.168.241.1,224.0.0.251,MDNS,83,"Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question",
252,49.998539,fe80::b1a1:6a9a:e994:a430,ff02::fb,MDNS,103,"Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question",
253,49.998978,fe80::b1a1:6a9a:e994:a430,ff02::fb,MDNS,321,Standard query response 0x0000 PTR BenCo::DESKTOP-V19Q667._oculusal_sp._tcp.local SRV 0 0 54987 DESKTOP-V19Q667.local TXT A 192.168.241.1 AAAA fe80::b1a1:6a9a:e994:a430,
254,49.999265,192.168.241.1,224.0.0.251,MDNS,301,Standard query response 0x0000 PTR BenCo::DESKTOP-V19Q667._oculusal_sp._tcp.local SRV 0 0 54987 DESKTOP-V19Q667.local TXT A 192.168.241.1 AAAA fe80::b1a1:6a9a:e994:a430,
255,50.007568,192.168.241.1,224.0.0.251,MDNS,86,"Standard query 0x0000 PTR _oculusal_sp_v2._tcp.local, ""QM"" question",
256,50.007861,fe80::b1a1:6a9a:e994:a430,ff02::fb,MDNS,106,"Standard query 0x0000 PTR _oculusal_sp_v2._tcp.local, ""QM"" question",
257,50.008304,fe80::b1a1:6a9a:e994:a430,ff02::fb,MDNS,330,Standard query response 0x0000 PTR BenCo::DESKTOP-V19Q667._oculusal_sp_v2._tcp.local SRV 0 0 54984 DESKTOP-V19Q667.local TXT A 192.168.241.1 AAAA fe80::b1a1:6a9a:e994:a430,
258,50.008572,192.168.241.1,224.0.0.251,MDNS,310,Standard query response 0x0000 PTR BenCo::DESKTOP-V19Q667._oculusal_sp_v2._tcp.local SRV 0 0 54984 DESKTOP-V19Q667.local TXT A 192.168.241.1 AAAA fe80::b1a1:6a9a:e994:a430,
259,50.944062,Vmware_32:2e:c9,Broadcast,ARP,42,Who has 192.168.159.153? Tell 192.168.159.150,
260,50.944296,Vmware_5a:c5:2a,Vmware_32:2e:c9,ARP,60,192.168.159.153 is at 00:0c:29:5a:c5:2a,
261,50.944303,192.168.159.150,192.168.159.153,ICMP,98,"Echo (ping) request  id=0x6973, seq=1/256, ttl=64 (reply in 262)",
262,50.944746,192.168.159.153,192.168.159.150,ICMP,98,"Echo (ping) reply    id=0x6973, seq=1/256, ttl=64 (request in 261)",
263,51.011515,192.168.241.1,224.0.0.251,MDNS,86,"Standard query 0x0000 PTR _oculusal_sp_v2._tcp.local, ""QM"" question",
264,51.012138,fe80::b1a1:6a9a:e994:a430,ff02::fb,MDNS,106,"Standard query 0x0000 PTR _oculusal_sp_v2._tcp.local, ""QM"" question",
265,51.01287,192.168.241.1,224.0.0.251,MDNS,83,"Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question",
266,51.013176,fe80::b1a1:6a9a:e994:a430,ff02::fb,MDNS,103,"Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question",
267,51.013638,fe80::b1a1:6a9a:e994:a430,ff02::fb,MDNS,330,Standard query response 0x0000 PTR BenCo::DESKTOP-V19Q667._oculusal_sp_v2._tcp.local SRV 0 0 54984 DESKTOP-V19Q667.local TXT A 192.168.241.1 AAAA fe80::b1a1:6a9a:e994:a430,
268,51.01394,fe80::b1a1:6a9a:e994:a430,ff02::fb,MDNS,321,Standard query response 0x0000 PTR BenCo::DESKTOP-V19Q667._oculusal_sp._tcp.local SRV 0 0 54987 DESKTOP-V19Q667.local TXT A 192.168.241.1 AAAA fe80::b1a1:6a9a:e994:a430,
269,51.014298,192.168.241.1,224.0.0.251,MDNS,310,Standard query response 0x0000 PTR BenCo::DESKTOP-V19Q667._oculusal_sp_v2._tcp.local SRV 0 0 54984 DESKTOP-V19Q667.local TXT A 192.168.241.1 AAAA fe80::b1a1:6a9a:e994:a430,
270,51.014662,192.168.241.1,224.0.0.251,MDNS,301,Standard query response 0x0000 PTR BenCo::DESKTOP-V19Q667._oculusal_sp._tcp.local SRV 0 0 54987 DESKTOP-V19Q667.local TXT A 192.168.241.1 AAAA fe80::b1a1:6a9a:e994:a430,
