"No.","Time","Source","Destination","Protocol","Length","Info"
"61","17.070384","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"62","17.204080","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"63","18.062123","192.168.159.152","192.168.159.151","DNS","79","Standard query response 0xf31c Server failure A clients1.google.com"
"64","18.062170","192.168.159.152","192.168.159.151","DNS","79","Standard query response 0x3c6c Server failure A clients1.google.com"
"65","18.062283","192.168.159.151","192.168.159.152","DNS","89","Standard query 0xa8a5 A clients1.google.com.mydns.com"
"66","18.062370","192.168.159.151","192.168.159.152","DNS","79","Standard query 0x3c6c A clients1.google.com"
"67","18.062721","192.168.159.152","192.168.159.151","DNS","137","Standard query response 0xa8a5 No such name A clients1.google.com.mydns.com SOA ubuntu.mydns.com"
"68","18.063392","192.168.159.151","192.168.159.152","DNS","79","Standard query 0xb755 A clients1.google.com"
"69","18.101166","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"70","18.406788","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"71","19.124904","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"72","19.404018","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"73","19.594511","192.168.159.151","192.168.159.152","DNS","79","Standard query 0x151c A accounts.google.com"
"74","20.404092","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"75","21.463949","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"76","22.004978","192.168.159.152","192.168.159.151","DNS","81","Standard query response 0x0836 Server failure A 3.ubuntu.pool.ntp.org"
"77","22.005025","192.168.159.152","192.168.159.151","DNS","81","Standard query response 0xf390 Server failure AAAA 3.ubuntu.pool.ntp.org"
"78","22.005174","192.168.159.151","192.168.159.152","DNS","91","Standard query 0x6c77 A 3.ubuntu.pool.ntp.org.mydns.com"
"79","22.005341","192.168.159.151","192.168.159.152","DNS","91","Standard query 0x2166 AAAA 3.ubuntu.pool.ntp.org.mydns.com"
"80","22.005713","192.168.159.152","192.168.159.151","DNS","139","Standard query response 0x2166 No such name AAAA 3.ubuntu.pool.ntp.org.mydns.com SOA ubuntu.mydns.com"
"81","22.005802","192.168.159.152","192.168.159.151","DNS","139","Standard query response 0x6c77 No such name A 3.ubuntu.pool.ntp.org.mydns.com SOA ubuntu.mydns.com"
"82","22.006086","192.168.159.151","192.168.159.152","DNS","81","Standard query 0x3431 A 1.ubuntu.pool.ntp.org"
"83","22.006249","192.168.159.151","192.168.159.152","DNS","81","Standard query 0xe904 AAAA 1.ubuntu.pool.ntp.org"
"84","22.075556","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"85","22.463959","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"86","23.063456","192.168.159.151","192.168.159.152","DNS","89","Standard query 0x0ecb A clients1.google.com.mydns.com"
"87","23.063713","VMware_fe:64:2f","VMware_9d:e8:5f","ARP","60","Who has 192.168.159.151? Tell 192.168.159.152"
"88","23.063737","VMware_9d:e8:5f","VMware_fe:64:2f","ARP","42","192.168.159.151 is at 00:0c:29:9d:e8:5f"
"89","23.063894","192.168.159.152","192.168.159.151","DNS","137","Standard query response 0x0ecb No such name A clients1.google.com.mydns.com SOA ubuntu.mydns.com"
"90","23.064373","192.168.159.151","192.168.159.152","DNS","79","Standard query 0xb755 A clients1.google.com"
"91","23.093054","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"92","23.464107","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"93","24.064767","192.168.159.151","192.168.159.152","DNS","79","Standard query 0x32e8 A clients1.google.com"
"94","24.116651","VMware_c7:28:f6","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.150"
"95","24.597638","192.168.159.151","192.168.159.152","DNS","79","Standard query 0x151c A accounts.google.com"
"96","24.796607","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"97","25.595127","192.168.159.151","192.168.159.152","DNS","79","Standard query 0x2e65 A accounts.google.com"
"98","25.795982","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"99","26.796398","VMware_fe:64:2f","Broadcast","ARP","60","Who has 192.168.159.2? Tell 192.168.159.152"
"100","27.009080","192.168.159.151","192.168.159.152","DNS","81","Standard query 0x3431 A 1.ubuntu.pool.ntp.org"
