"@timestamp: Descending","name.keyword: Descending","destination_ip: Descending","source_ip: Descending","destination_port: Descending","alert.keyword: Descending","_id: Descending",Count
"November 7th 2023, 05:38:57.520",Missing,"192.168.159.152","192.168.159.151",53,Missing,oBtKqIsBe6QQWSyQhyJ6,1
"November 7th 2023, 05:38:57.520",Missing,"192.168.159.152","192.168.159.151",53,Missing,ohtKqIsBe6QQWSyQhyJ9,1
"November 7th 2023, 05:38:57.520",Missing,"192.168.159.152","192.168.159.151",53,Missing,yxtKqIsBe6QQWSyQriKj,1
"November 7th 2023, 05:38:57.520",Missing,"192.168.159.152","192.168.159.151",53,Missing,zBtKqIsBe6QQWSyQriKj,1
"November 7th 2023, 05:39:14.465",Missing,"192.168.159.152","192.168.159.151",53,Missing,0xtKqIsBe6QQWSyQyiIM,1
"November 7th 2023, 05:39:14.465",Missing,"192.168.159.152","192.168.159.151",53,Missing,1BtKqIsBe6QQWSyQyiIM,1
"November 7th 2023, 05:39:14.465",Missing,"192.168.159.152","192.168.159.151",53,Missing,4BtKqIsBe6QQWSyQ8SIZ,1
"November 7th 2023, 05:39:14.465",Missing,"192.168.159.152","192.168.159.151",53,Missing,5BtKqIsBe6QQWSyQ8SIn,1
"November 7th 2023, 05:39:14.465",Missing,"192.168.159.152","192.168.159.151",53,Missing,5RtKqIsBe6QQWSyQ8SIn,1
"November 7th 2023, 05:39:14.465",Missing,"192.168.159.152","192.168.159.151",53,Missing,7xtLqIsBe6QQWSyQGCJL,1
"November 7th 2023, 05:39:59.461",Missing,"192.168.159.152","192.168.159.151",53,Missing,ABtLqIsBe6QQWSyQeSP4,1
"November 7th 2023, 05:39:59.461",Missing,"192.168.159.152","192.168.159.151",53,Missing,ARtLqIsBe6QQWSyQeSP4,1
"November 7th 2023, 05:39:59.461",Missing,"192.168.159.152","192.168.159.151",53,Missing,HhtLqIsBe6QQWSyQoSMJ,1
"November 7th 2023, 05:39:59.461",Missing,"192.168.159.152","192.168.159.151",53,Missing,IRtLqIsBe6QQWSyQoSMe,1
"November 7th 2023, 05:39:59.461",Missing,"192.168.159.152","192.168.159.151",53,Missing,IhtLqIsBe6QQWSyQoSMe,1
"November 7th 2023, 05:39:59.461",Missing,"192.168.159.152","192.168.159.151",53,Missing,LBtLqIsBe6QQWSyQyCMz,1
"November 7th 2023, 05:41:04.463",Missing,"192.168.159.152","192.168.159.151",53,Missing,WRtMqIsBe6QQWSyQeCMb,1
"November 7th 2023, 05:41:04.463",Missing,"192.168.159.152","192.168.159.151",53,Missing,XBtMqIsBe6QQWSyQeCMg,1
"November 7th 2023, 05:41:04.463",Missing,"192.168.159.152","192.168.159.151",53,Missing,ZBtMqIsBe6QQWSyQnyM5,1
"November 7th 2023, 05:41:04.463",Missing,"192.168.159.152","192.168.159.151",53,Missing,ZhtMqIsBe6QQWSyQnyNI,1
"November 7th 2023, 05:41:04.463",Missing,"192.168.159.152","192.168.159.151",53,Missing,ZxtMqIsBe6QQWSyQnyNI,1
"November 7th 2023, 05:41:04.463",Missing,"192.168.159.152","192.168.159.151",53,Missing,dxtMqIsBe6QQWSyQxiNl,1
"November 7th 2023, 05:42:41.467",Missing,"192.168.159.152","192.168.159.151",53,Missing,BxtNqIsBe6QQWSyQ8ySE,1
"November 7th 2023, 05:42:41.467",Missing,"192.168.159.152","192.168.159.151",53,Missing,CBtNqIsBe6QQWSyQ8ySE,1
"November 7th 2023, 05:42:41.467",Missing,"192.168.159.152","192.168.159.151",53,Missing,IBtOqIsBe6QQWSyQGiSW,1
"November 7th 2023, 05:42:41.467",Missing,"192.168.159.152","192.168.159.151",53,Missing,IRtOqIsBe6QQWSyQGiSW,1
"November 7th 2023, 05:42:41.467",Missing,"192.168.159.152","192.168.159.151",53,Missing,JRtOqIsBe6QQWSyQGiSW,1
"November 7th 2023, 05:42:41.467",Missing,"192.168.159.152","192.168.159.151",53,Missing,PhtOqIsBe6QQWSyQQSSs,1
"November 7th 2023, 05:43:36.475",Missing,"192.168.159.152","192.168.159.151",53,Missing,VxtOqIsBe6QQWSyQyiR9,1
"November 7th 2023, 05:43:36.475",Missing,"192.168.159.152","192.168.159.151",53,Missing,XBtOqIsBe6QQWSyQyiSS,1
"November 7th 2023, 05:43:36.475",Missing,"192.168.159.152","192.168.159.151",53,Missing,YhtOqIsBe6QQWSyQ8SSW,1
"November 7th 2023, 05:43:36.475",Missing,"192.168.159.152","192.168.159.151",53,Missing,YxtOqIsBe6QQWSyQ8SSi,1
"November 7th 2023, 05:43:36.475",Missing,"192.168.159.152","192.168.159.151",53,Missing,aBtOqIsBe6QQWSyQ8SSl,1
"November 7th 2023, 05:43:36.475",Missing,"192.168.159.152","192.168.159.151",53,Missing,dBtPqIsBe6QQWSyQGCTC,1
"November 7th 2023, 05:44:50.467",Missing,"192.168.159.152","192.168.159.151",53,Missing,2htQqIsBe6QQWSyQEyQD,1
"November 7th 2023, 05:44:50.467",Missing,"192.168.159.152","192.168.159.151",53,Missing,3htQqIsBe6QQWSyQEyQH,1
"November 7th 2023, 05:44:50.467",Missing,"192.168.159.152","192.168.159.151",53,Missing,3xtQqIsBe6QQWSyQEyQK,1
"November 7th 2023, 05:44:50.467",Missing,"192.168.159.152","192.168.159.151",53,Missing,7BtQqIsBe6QQWSyQOiQU,1
"November 7th 2023, 05:44:50.467",Missing,"192.168.159.152","192.168.159.151",53,Missing,uxtPqIsBe6QQWSyQ6yTr,1
"November 7th 2023, 05:44:50.467",Missing,"192.168.159.152","192.168.159.151",53,Missing,vBtPqIsBe6QQWSyQ6yTr,1
"November 7th 2023, 05:45:27.462",Missing,"192.168.159.152","192.168.159.151",53,Missing,"-RtQqIsBe6QQWSyQoySx",1
"November 7th 2023, 05:45:27.462",Missing,"192.168.159.152","192.168.159.151",53,Missing,"-htQqIsBe6QQWSyQoySx",1
"November 7th 2023, 05:45:27.462",Missing,"192.168.159.152","192.168.159.151",53,Missing,8BtQqIsBe6QQWSyQfCSH,1
"November 7th 2023, 05:45:27.462",Missing,"192.168.159.152","192.168.159.151",53,Missing,8xtQqIsBe6QQWSyQfCSO,1
"November 7th 2023, 05:45:27.462",Missing,"192.168.159.152","192.168.159.151",53,Missing,BxtQqIsBe6QQWSyQyiW3,1
"November 7th 2023, 05:45:27.462",Missing,"192.168.159.152","192.168.159.151",53,Missing,"_htQqIsBe6QQWSyQoySx",1
"November 7th 2023, 05:45:47.465",Missing,"192.168.159.152","192.168.159.151",53,Missing,CxtQqIsBe6QQWSyQyiXG,1
"November 7th 2023, 05:45:47.465",Missing,"192.168.159.152","192.168.159.151",53,Missing,DhtQqIsBe6QQWSyQyiXG,1
"November 7th 2023, 05:45:47.465",Missing,"192.168.159.152","192.168.159.151",53,Missing,JhtQqIsBe6QQWSyQ8iUP,1
"November 7th 2023, 05:45:47.465",Missing,"192.168.159.152","192.168.159.151",53,Missing,JxtQqIsBe6QQWSyQ8iUP,1
"November 7th 2023, 05:45:47.465",Missing,"192.168.159.152","192.168.159.151",53,Missing,MxtQqIsBe6QQWSyQ8iUP,1
"November 7th 2023, 05:45:47.465",Missing,"192.168.159.152","192.168.159.151",53,Missing,aRtRqIsBe6QQWSyQGSUB,1
"November 7th 2023, 05:45:47.883",Missing,"224.0.0.252","192.168.178.1",5355,Missing,IhtQqIsBe6QQWSyQ8SXT,1
"November 7th 2023, 05:45:47.883",Missing,"224.0.0.252","192.168.178.1",5355,Missing,MBtQqIsBe6QQWSyQ8iUP,1
"November 7th 2023, 05:45:47.883",Missing,"ff02::1:3","fe80::6b48:c932:2972:d2fc",5355,Missing,IBtQqIsBe6QQWSyQ8SXT,1
"November 7th 2023, 05:45:47.883",Missing,"ff02::1:3","fe80::6b48:c932:2972:d2fc",5355,Missing,LhtQqIsBe6QQWSyQ8iUP,1
"November 7th 2023, 05:45:47.883",Missing,"224.0.0.251","192.168.178.1",5353,Missing,HhtQqIsBe6QQWSyQ5iUc,1
"November 7th 2023, 05:45:47.883",Missing,"ff02::fb","fe80::6b48:c932:2972:d2fc",5353,Missing,HBtQqIsBe6QQWSyQ5iUc,1
"November 7th 2023, 05:46:32.461",Missing,"192.168.159.152","192.168.159.151",53,Missing,khtRqIsBe6QQWSyQeiXB,1
"November 7th 2023, 05:46:32.461",Missing,"192.168.159.152","192.168.159.151",53,Missing,kxtRqIsBe6QQWSyQeiXB,1
"November 7th 2023, 05:46:32.461",Missing,"192.168.159.152","192.168.159.151",53,Missing,nRtRqIsBe6QQWSyQoSXZ,1
"November 7th 2023, 05:46:32.461",Missing,"192.168.159.152","192.168.159.151",53,Missing,nhtRqIsBe6QQWSyQoSXZ,1
"November 7th 2023, 05:46:32.461",Missing,"192.168.159.152","192.168.159.151",53,Missing,ohtRqIsBe6QQWSyQoSXZ,1
"November 7th 2023, 05:46:32.461",Missing,"192.168.159.152","192.168.159.151",53,Missing,rRtRqIsBe6QQWSyQyCXp,1
"November 7th 2023, 05:47:37.461",Missing,"192.168.159.152","192.168.159.151",53,Missing,3BtSqIsBe6QQWSyQdCXx,1
"November 7th 2023, 05:47:37.461",Missing,"192.168.159.152","192.168.159.151",53,Missing,3xtSqIsBe6QQWSyQdCX4,1
"November 7th 2023, 05:47:37.461",Missing,"192.168.159.152","192.168.159.151",53,Missing,4xtSqIsBe6QQWSyQnCUJ,1
"November 7th 2023, 05:47:37.461",Missing,"192.168.159.152","192.168.159.151",53,Missing,5RtSqIsBe6QQWSyQnCUZ,1
