No.,Time,Source,Destination,Protocol,Length,Info,MitM
317,84.100815,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
318,84.300093,192.168.159.152,192.168.159.151,DNS,81,Standard query response 0x7f59 Server failure A 3.ubuntu.pool.ntp.org,FALSE
319,84.30013,192.168.159.152,192.168.159.151,DNS,81,Standard query response 0xbc7f Server failure AAAA 3.ubuntu.pool.ntp.org,FALSE
320,84.300309,192.168.159.151,192.168.159.152,DNS,91,Standard query 0x3cf0 A 3.ubuntu.pool.ntp.org.mydns.com,FALSE
321,84.300381,192.168.159.151,192.168.159.152,DNS,91,Standard query 0xb36a AAAA 3.ubuntu.pool.ntp.org.mydns.com,FALSE
322,84.300841,192.168.159.152,192.168.159.151,DNS,139,Standard query response 0x3cf0 No such name A 3.ubuntu.pool.ntp.org.mydns.com SOA ubuntu.mydns.com,FALSE
323,84.300862,192.168.159.152,192.168.159.151,DNS,139,Standard query response 0xb36a No such name AAAA 3.ubuntu.pool.ntp.org.mydns.com SOA ubuntu.mydns.com,FALSE
324,84.301265,192.168.159.151,192.168.159.152,DNS,81,Standard query 0x1111 A 2.ubuntu.pool.ntp.org,FALSE
325,84.301477,192.168.159.151,192.168.159.152,DNS,81,Standard query 0x25c1 AAAA 2.ubuntu.pool.ntp.org,FALSE
326,85.088032,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
327,85.099744,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
328,86.099674,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
329,86.11216,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
330,87.702157,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
331,88.699645,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
332,89.077159,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
333,89.306302,192.168.159.151,192.168.159.152,DNS,81,Standard query 0x1111 A 2.ubuntu.pool.ntp.org,FALSE
334,89.306547,192.168.159.151,192.168.159.152,DNS,81,Standard query 0x25c1 AAAA 2.ubuntu.pool.ntp.org,FALSE
335,89.699554,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
336,90.080064,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
337,91.102531,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
338,91.104143,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
339,92.099592,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
340,93.099655,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
341,94.082435,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
342,94.301976,192.168.159.152,192.168.159.151,DNS,81,Standard query response 0x1111 Server failure A 2.ubuntu.pool.ntp.org,FALSE
343,94.302014,192.168.159.152,192.168.159.151,DNS,81,Standard query response 0x25c1 Server failure AAAA 2.ubuntu.pool.ntp.org,FALSE
344,94.302163,192.168.159.151,192.168.159.152,DNS,91,Standard query 0xb812 A 2.ubuntu.pool.ntp.org.mydns.com,FALSE
345,94.30232,192.168.159.151,192.168.159.152,DNS,91,Standard query 0x4c69 AAAA 2.ubuntu.pool.ntp.org.mydns.com,FALSE
346,94.30262,192.168.159.152,192.168.159.151,DNS,139,Standard query response 0x4c69 No such name AAAA 2.ubuntu.pool.ntp.org.mydns.com SOA ubuntu.mydns.com,FALSE
347,94.302637,192.168.159.152,192.168.159.151,DNS,139,Standard query response 0xb812 No such name A 2.ubuntu.pool.ntp.org.mydns.com SOA ubuntu.mydns.com,FALSE
348,94.302826,192.168.159.151,192.168.159.152,DNS,81,Standard query 0xb24b A 0.ubuntu.pool.ntp.org,FALSE
349,94.302946,192.168.159.151,192.168.159.152,DNS,81,Standard query 0x9532 AAAA 0.ubuntu.pool.ntp.org,FALSE
350,94.303507,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
351,95.1041,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
352,95.299631,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
353,96.128154,VMware_eb:a7:b9,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,TRUE
354,96.220309,VMware_eb:a7:b9,VMware_1b:ea:01,ARP,60,192.168.159.153 is at 00:0c:29:eb:a7:b9,TRUE
355,96.299579,VMware_1b:ea:01,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,FALSE
